game_date,game_id,team_a,team_b,actual_winner,actual_score_a,actual_score_b,team_a_rest_days,team_b_rest_days
2024-10-22,0022400061,BOS,NYK,BOS,132,109,2.0,2.0
2024-10-22,0022400062,LAL,MIN,LAL,110,103,2.0,2.0
2024-10-23,0022400064,ATL,BKN,ATL,120,116,2.0,2.0
2024-10-23,0022400063,DET,IND,IND,109,115,2.0,2.0
2024-10-23,0022400068,HOU,CHA,CHA,105,110,2.0,2.0
2024-10-23,0022400071,LAC,PHX,PHX,113,116,2.0,2.0
2024-10-23,0022400065,MIA,ORL,ORL,97,116,2.0,2.0
2024-10-23,0022400069,NOP,CHI,NOP,123,111,2.0,2.0
2024-10-23,0022400066,PHI,MIL,MIL,109,124,2.0,2.0
2024-10-23,0022400072,POR,GSW,GSW,104,140,2.0,2.0
2024-10-23,0022400067,TOR,CLE,CLE,106,136,2.0,2.0
2024-10-23,0022400070,UTA,MEM,MEM,124,126,2.0,2.0
2024-10-24,0022400074,DAL,SAS,DAL,120,109,2.0,2.0
2024-10-24,0022400075,DEN,OKC,OKC,87,102,2.0,2.0
2024-10-24,0022400076,SAC,MIN,MIN,115,117,2.0,1.0
2024-10-24,0022400073,WAS,BOS,BOS,102,122,2.0,1.0
2024-10-25,0022400079,ATL,CHA,ATL,125,120,1.0,1.0
2024-10-25,0022400080,CLE,DET,CLE,113,101,1.0,1.0
2024-10-25,0022400082,HOU,MEM,HOU,128,108,1.0,1.0
2024-10-25,0022400085,LAL,PHX,LAL,123,116,2.0,1.0
2024-10-25,0022400083,MIL,CHI,CHI,122,133,1.0,1.0
2024-10-25,0022400081,NYK,IND,NYK,123,98,2.0,1.0
2024-10-25,0022400077,ORL,BKN,ORL,116,101,1.0,1.0
2024-10-25,0022400086,POR,NOP,NOP,103,105,1.0,1.0
2024-10-25,0022400078,TOR,PHI,TOR,115,107,1.0,1.0
2024-10-25,0022400084,UTA,GSW,GSW,86,127,1.0,1.0
2024-10-26,0022400088,CHA,MIA,MIA,106,114,0.0,2.0
2024-10-26,0022400091,CHI,OKC,OKC,95,114,0.0,1.0
2024-10-26,0022400087,DEN,LAC,LAC,104,109,1.0,2.0
2024-10-26,0022400089,DET,BOS,BOS,118,124,0.0,1.0
2024-10-26,0022400096,LAL,SAC,LAL,131,127,0.0,1.0
2024-10-26,0022400092,MEM,ORL,MEM,124,111,0.0,0.0
2024-10-26,0022400093,MIN,TOR,MIN,112,101,1.0,0.0
2024-10-26,0022400095,PHX,DAL,PHX,114,102,0.0,1.0
2024-10-26,0022400094,SAS,HOU,SAS,109,106,1.0,0.0
2024-10-26,0022400090,WAS,CLE,CLE,116,135,1.0,0.0
2024-10-27,0022400098,BKN,MIL,BKN,115,102,1.0,1.0
2024-10-27,0022400101,GSW,LAC,LAC,104,112,1.0,0.0
2024-10-27,0022400097,IND,PHI,PHI,114,118,1.0,1.0
2024-10-27,0022400100,OKC,ATL,OKC,128,104,0.0,1.0
2024-10-27,0022400099,POR,NOP,POR,125,103,1.0,1.0
2024-10-28,0022400103,ATL,WAS,WAS,119,121,0.0,1.0
2024-10-28,0022400104,BOS,MIL,BOS,119,108,1.0,0.0
2024-10-28,0022400110,DAL,UTA,DAL,110,102,1.0,2.0
2024-10-28,0022400108,MEM,CHI,CHI,123,126,1.0,1.0
2024-10-28,0022400105,MIA,DET,MIA,106,98,1.0,1.0
2024-10-28,0022400106,NYK,CLE,CLE,104,110,2.0,1.0
2024-10-28,0022400102,ORL,IND,ORL,119,115,1.0,0.0
2024-10-28,0022400111,PHX,LAL,PHX,109,105,1.0,1.0
2024-10-28,0022400112,SAC,POR,SAC,111,98,1.0,0.0
2024-10-28,0022400109,SAS,HOU,HOU,101,106,1.0,1.0
2024-10-28,0022400107,TOR,DEN,DEN,125,127,1.0,1.0
2024-10-29,0022400113,BKN,DEN,DEN,139,144,1.0,0.0
2024-10-29,0022400116,GSW,NOP,GSW,124,106,1.0,1.0
2024-10-29,0022400114,MIN,DAL,DAL,114,120,2.0,0.0
2024-10-29,0022400115,UTA,SAC,SAC,96,113,0.0,0.0
2024-10-30,0022400117,CHA,TOR,CHA,138,133,3.0,1.0
2024-10-30,0022400123,CHI,ORL,CHI,102,99,1.0,1.0
2024-10-30,0022400118,CLE,LAL,CLE,134,110,1.0,1.0
2024-10-30,0022400126,GSW,NOP,GSW,104,89,0.0,0.0
2024-10-30,0022400119,IND,BOS,IND,135,132,1.0,1.0
2024-10-30,0022400127,LAC,POR,POR,105,106,2.0,1.0
2024-10-30,0022400124,MEM,BKN,BKN,106,119,1.0,0.0
2024-10-30,0022400122,MIA,NYK,NYK,107,116,1.0,1.0
2024-10-30,0022400125,OKC,SAS,OKC,105,93,2.0,1.0
2024-10-30,0022400120,PHI,DET,DET,95,105,2.0,1.0
2024-10-30,0022400121,WAS,ATL,WAS,133,120,1.0,1.0
2024-10-31,0022400129,DAL,HOU,HOU,102,108,1.0,2.0
2024-10-31,0022400131,LAC,PHX,PHX,119,125,0.0,2.0
2024-10-31,0022400128,MEM,MIL,MEM,122,99,0.0,2.0
2024-10-31,0022400130,UTA,SAS,SAS,88,106,1.0,0.0
2024-11-01,0022400135,ATL,SAC,SAC,115,123,1.0,2.0
2024-11-01,0022400136,BKN,CHI,BKN,120,112,1.0,1.0
2024-11-01,0022400132,CHA,BOS,BOS,109,124,1.0,1.0
2024-11-01,0022400133,CLE,ORL,CLE,120,109,1.0,1.0
2024-11-01,0022400134,DET,NYK,NYK,98,128,1.0,1.0
2024-11-01,0022400139,MIN,DEN,MIN,119,116,2.0,2.0
2024-11-01,0022400138,NOP,IND,NOP,125,118,1.0,1.0
2024-11-01,0022400140,POR,OKC,OKC,114,137,1.0,1.0
2024-11-01,0022400137,TOR,LAL,LAL,125,131,1.0,1.0
2024-11-02,0022400141,CHA,BOS,BOS,103,113,0.0,0.0
2024-11-02,0022400148,DEN,UTA,DEN,129,103,0.0,1.0
2024-11-02,0022400144,HOU,GSW,GSW,121,127,1.0,2.0
2024-11-02,0022400150,LAC,OKC,OKC,92,105,1.0,0.0
2024-11-02,0022400145,MIL,CLE,CLE,113,114,1.0,0.0
2024-11-02,0022400142,PHI,MEM,MEM,107,124,2.0,1.0
2024-11-02,0022400149,PHX,POR,PHX,103,97,1.0,0.0
2024-11-02,0022400146,SAS,MIN,SAS,113,103,1.0,0.0
2024-11-02,0022400143,TOR,SAC,TOR,131,128,0.0,0.0
2024-11-03,0022400151,BKN,DET,DET,92,106,1.0,1.0
2024-11-03,0022400153,DAL,ORL,DAL,108,85,2.0,1.0
2024-11-03,0022400152,NOP,ATL,ATL,111,126,1.0,1.0
2024-11-04,0022400157,ATL,BOS,BOS,93,123,0.0,1.0
2024-11-04,0022400158,BKN,MEM,BKN,106,104,0.0,1.0
2024-11-04,0022400160,CHI,UTA,UTA,126,135,2.0,1.0
2024-11-04,0022400154,CLE,MIL,CLE,116,114,1.0,1.0
2024-11-04,0022400165,DAL,IND,IND,127,134,0.0,2.0
2024-11-04,0022400166,DEN,TOR,DEN,121,119,1.0,1.0
2024-11-04,0022400156,DET,LAL,DET,115,103,0.0,2.0
2024-11-04,0022400161,HOU,NYK,HOU,109,97,1.0,2.0
2024-11-04,0022400168,LAC,SAS,LAC,113,104,1.0,1.0
2024-11-04,0022400159,MIA,SAC,SAC,110,111,1.0,1.0
2024-11-04,0022400162,MIN,CHA,MIN,114,93,1.0,1.0
2024-11-04,0022400164,NOP,POR,POR,100,118,0.0,1.0
2024-11-04,0022400163,OKC,ORL,OKC,102,86,1.0,0.0
2024-11-04,0022400167,PHX,PHI,PHX,118,116,1.0,1.0
2024-11-04,0022400155,WAS,GSW,GSW,112,125,1.0,1.0
2024-11-06,0022400171,ATL,NYK,ATL,121,116,1.0,1.0
2024-11-06,0022400172,BOS,GSW,GSW,112,118,1.0,1.0
2024-11-06,0022400169,CHA,DET,CHA,108,107,1.0,1.0
2024-11-06,0022400176,DAL,CHI,DAL,119,99,1.0,1.0
2024-11-06,0022400177,DEN,OKC,DEN,124,122,1.0,1.0
2024-11-06,0022400173,HOU,SAS,HOU,127,100,1.0,1.0
2024-11-06,0022400170,IND,ORL,IND,118,111,1.0,1.0
2024-11-06,0022400179,LAC,PHI,LAC,110,98,1.0,1.0
2024-11-06,0022400174,MEM,LAL,MEM,131,114,1.0,1.0
2024-11-06,0022400175,NOP,CLE,CLE,122,131,1.0,1.0
2024-11-06,0022400178,PHX,MIA,PHX,115,112,1.0,1.0
2024-11-06,0022400180,SAC,TOR,SAC,122,107,1.0,1.0
2024-11-07,0022400181,CHI,MIN,MIN,119,135,0.0,2.0
2024-11-07,0022400182,MIL,UTA,MIL,123,100,2.0,2.0
2024-11-07,0022400183,SAS,POR,SAS,118,105,0.0,2.0
2024-11-08,0022400187,BOS,BKN,BOS,108,104,1.0,3.0
2024-11-08,0022400184,CHA,IND,CHA,103,83,1.0,1.0
2024-11-08,0022400188,CLE,GSW,CLE,136,117,1.0,1.0
2024-11-08,0022400190,DAL,PHX,PHX,113,114,1.0,1.0
2024-11-08,0022400194,DEN,MIA,DEN,135,122,1.0,1.0
2024-11-08,0022400185,DET,ATL,DET,122,121,1.0,1.0
2024-11-08,0022400195,LAL,PHI,LAL,116,106,1.0,1.0
2024-11-08,0022400191,MEM,WAS,MEM,128,104,1.0,3.0
2024-11-08,0022400193,MIN,POR,MIN,127,102,0.0,0.0
2024-11-08,0022400189,NYK,MIL,NYK,116,94,1.0,0.0
2024-11-08,0022400192,OKC,HOU,OKC,126,107,1.0,1.0
2024-11-08,0022400186,ORL,NOP,ORL,115,88,1.0,1.0
2024-11-08,0022400196,SAC,LAC,LAC,98,107,1.0,1.0
2024-11-09,0022400198,ATL,CHI,CHI,113,125,0.0,1.0
2024-11-09,0022400199,CLE,BKN,CLE,105,100,0.0,0.0
2024-11-09,0022400200,LAC,TOR,LAC,105,103,0.0,2.0
2024-11-09,0022400197,SAS,UTA,UTA,110,111,1.0,1.0
2024-11-10,0022400208,DEN,DAL,DEN,122,120,1.0,1.0
2024-11-10,0022400201,DET,HOU,HOU,99,101,1.0,1.0
2024-11-10,0022400203,IND,NYK,IND,132,121,1.0,1.0
2024-11-10,0022400211,LAL,TOR,LAL,123,103,1.0,0.0
