game_date,game_id,team_a,team_b,actual_winner,actual_score_a,actual_score_b,team_a_rest_days,team_b_rest_days
2025-04-19,0042400171,DEN,LAC,DEN,112,110,2.0,2.0
2025-04-19,0042400131,IND,MIL,IND,117,98,2.0,2.0
2025-04-19,0042400161,LAL,MIN,MIN,95,117,2.0,2.0
2025-04-19,0042400121,NYK,DET,NYK,123,112,2.0,2.0
2025-04-20,0042400111,BOS,ORL,BOS,103,86,2.0,2.0
2025-04-20,0042400101,CLE,MIA,CLE,121,100,2.0,2.0
2025-04-20,0042400151,HOU,GSW,GSW,85,95,2.0,2.0
2025-04-20,0042400141,OKC,MEM,OKC,131,80,2.0,2.0
2025-04-21,0042400172,DEN,LAC,LAC,102,105,1.0,1.0
2025-04-21,0042400122,NYK,DET,DET,94,100,1.0,1.0
2025-04-22,0042400132,IND,MIL,IND,123,115,2.0,2.0
2025-04-22,0042400162,LAL,MIN,LAL,94,85,2.0,2.0
2025-04-22,0042400142,OKC,MEM,OKC,118,99,1.0,1.0
2025-04-23,0042400112,BOS,ORL,BOS,109,100,2.0,2.0
2025-04-23,0042400102,CLE,MIA,CLE,121,112,2.0,2.0
2025-04-23,0042400152,HOU,GSW,HOU,109,94,2.0,2.0
2025-04-24,0042400123,DET,NYK,NYK,116,118,2.0,2.0
2025-04-24,0042400173,LAC,DEN,LAC,117,83,2.0,2.0
2025-04-24,0042400143,MEM,OKC,OKC,108,114,1.0,1.0
2025-04-25,0042400133,MIL,IND,MIL,117,101,2.0,2.0
2025-04-25,0042400163,MIN,LAL,MIN,116,104,2.0,2.0
2025-04-25,0042400113,ORL,BOS,ORL,95,93,1.0,1.0
2025-04-26,0042400153,GSW,HOU,GSW,104,93,2.0,2.0
2025-04-26,0042400174,LAC,DEN,DEN,99,101,1.0,1.0
2025-04-26,0042400144,MEM,OKC,OKC,115,117,1.0,1.0
2025-04-26,0042400103,MIA,CLE,CLE,87,124,2.0,2.0
2025-04-27,0042400124,DET,NYK,NYK,93,94,2.0,2.0
2025-04-27,0042400134,MIL,IND,IND,103,129,1.0,1.0
2025-04-27,0042400164,MIN,LAL,MIN,116,113,1.0,1.0
2025-04-27,0042400114,ORL,BOS,BOS,98,107,1.0,1.0
2025-04-28,0042400154,GSW,HOU,GSW,109,106,1.0,1.0
2025-04-28,0042400104,MIA,CLE,CLE,83,138,1.0,1.0
2025-04-29,0042400115,BOS,ORL,BOS,120,89,1.0,1.0
2025-04-29,0042400175,DEN,LAC,DEN,131,115,2.0,2.0
2025-04-29,0042400135,IND,MIL,IND,119,118,1.0,1.0
2025-04-29,0042400125,NYK,DET,DET,103,106,1.0,1.0
2025-04-30,0042400155,HOU,GSW,HOU,131,116,1.0,1.0
2025-04-30,0042400165,LAL,MIN,MIN,96,103,2.0,2.0
2025-05-01,0042400126,DET,NYK,NYK,113,116,1.0,1.0
